Title,Release Date,Developer,Publisher,Genre,Age Rating,Platform
DualPenSports,6/21/2011,indieszero,Namco Bandai Games,Sports,Everyone +10,3DS
Teenage Mutant Ninja Turtles: The Arcade Game,3/14/2007,Konami,Ubisoft,2D Beat-'Em-Up,Everyone +10,Xbox 360
Jade Cocoon 2,12/17/2001,Genki,Ubisoft,JRPG,Teen,PlayStation 2
NBA Street Showdown,4/27/2005,EA Canada,EA Sports Big,Basketball,Everyone,PSP
Monopoly (2008),10/20/2008,Electronic Arts,Electronic Arts,Board,Everyone,DS
Hercules: The Legendary Journeys,11/16/2000,Player 1,Titus Software,Action RPG,Teen,Nintendo 64
Seaman,8/9/2000,Vivarium,Sega,Virtual Pet,Teen,Dreamcast
Back to the Future: The Game - Episode IV: Double Visions,4/29/2011,Telltale Games,Telltale Games,Third-Person Adventure,Rate Pending,iOS (iPhone/iPad)
Urban Trial Playground,4/5/2018,Tate Multimedia,Tate Multimedia,Individual Sports,Everyone,Nintendo Switch
The Cursed Crusade,10/25/2011,Kylotonn,Atlus,Action Adventure,Mature,PlayStation 3
Metro Exodus,2/15/2019,4A Games,Deep Silver,FPS,Mature,Xbox One
Dragon Valor,10/16/2000,Namco,Namco,Action RPG,Teen,PlayStation
NES Remix,12/18/2013,indieszero,Nintendo,Party,Everyone,Wii U
Worms: Open Warfare 2,9/4/2007,Team17,THQ,Artillery,Everyone +10,DS
Disney Epic Mickey: The Power of Illusion,11/18/2012,DreamRift,Disney Interactive Studios,2D Platformer,Everyone,3DS
Secret Ponchos,12/2/2014,Switchblade Monkeys,Switchblade Monkeys,FPS,Teen,PlayStation 4
Greg Hastings' Tournament Paintball,11/16/2004,WXP,Activision,Individual Sports,Teen,Xbox
Football Manager 2020,11/18/2019,Sports Interactive,Sega,Soccer Management,Everyone,PC
Ys VIII: Lacrimosa of DANA,9/12/2017,Falcom,NIS America,Action RPG,Teen,PlayStation Vita
Cubemen 2,9/4/2014,3 Sprockets,Nnooo,Defense,Everyone +10,PC
Watchmen: The End Is Nigh,3/4/2009,Deadline Games,Warner Bros. Interactive Entertainment,2D Beat-'Em-Up,Mature,PlayStation 3
DreamWorks Megamind: Ultimate Showdown,11/2/2010,THQ Studio Australia,THQ,3D Platformer,Everyone +10,Xbox 360
The Legend of Zelda: Breath of the Wild - The Master Trials,6/30/2017,Nintendo,Nintendo,Open-World Action,Everyone +10,Nintendo Switch
DOOM Eternal: The Ancient Gods Part Two,3/18/2021,id Software,Bethesda Softworks,FPS,Mature,Xbox One
DreamWorks Bee Movie Game,10/30/2007,Beenox,Activision,Action,Everyone,Wii
Retro Bowl,2/10/2022,Five Aces Publishing Ltd.,Five Aces Publishing Ltd.,Football Sim,Everyone,iOS (iPhone/iPad)
DreamWorks Madagascar,5/24/2005,Toys for Bob,Activision,3D Platformer,Everyone +10,PlayStation 2
Total Overdose: A Gunslinger's Tale in Mexico,9/27/2005,Deadline Games,Eidos Interactive,Third Person Shooter,Mature,PC
Pure Futbol,6/1/2010,Ubisoft Vancouver,Ubisoft,Soccer,Everyone,PlayStation 3
Hunted: The Demon's Forge,5/31/2011,InXile Entertainment,Bethesda Softworks,Action Adventure,Mature,Xbox 360
Donkey Konga 2,5/9/2005,Namco,Nintendo,Rhythm,Teen,GameCube
Warriors: Legends of Troy,3/15/2011,Tecmo Koei Canada,Koei Tecmo Games,3D Beat-'Em-Up,Mature,Xbox 360
MouseCraft,7/8/2014,Crunching Koalas,Crunching Koalas,Action Puzzle,Everyone,PC
Kao the Kangaroo,5/27/2022,Tate Multimedia,Tate Multimedia,3D Platformer,Everyone +10,PC
Roundabout,2/20/2015,No Goblin,No Goblin,Auto Racing,Mature,Xbox One
Descenders,8/25/2020,RageSquid,Sold Out,Biking,Everyone,PC
GTI Club + Rally Cote D'Azur,1/15/2009,Sumo Digital,SCEA,Auto Racing,Everyone,PlayStation 3
Shadow of Destiny,3/6/2001,KCET,Konami,Third-Person Adventure,Teen,PlayStation 2
Eastward,9/16/2021,Pixpil,Chucklefish,RPG,Teen,PC
SpellForce 3,12/7/2017,Grimlore Games,Nordic Games Publishing,Real-Time Tactics,Mature,PC
Cattails,11/29/2018,Falcon Development,Falcon Development,Action RPG,Everyone,Nintendo Switch
Killzone 2,2/27/2009,Guerrilla,SCEA,FPS,Mature,PlayStation 3
Football Manager 2024,11/6/2023,Sports Interactive,Sega,Soccer Management,Everyone,PC
3000th Duel,2/19/2020,NEOPOPCORN Corp,NEOPOPCORN Corp,2D Platformer,Everyone +10,Nintendo Switch
Stealth Inc 2: A Game of Clones,10/30/2014,Curve Digital,Curve Digital,2D Platformer,Teen,Wii U
Batman: Arkham Origins,10/25/2013,WB Games Montreal,Warner Bros. Interactive Entertainment,Open-World Action,Teen,PC
Islands of Wakfu,3/30/2011,Ankama Games,Microsoft Game Studios,Action Adventure,Everyone +10,Xbox 360
Van Helsing,5/6/2004,Saffire,VU Games,Third Person Shooter,Teen,PlayStation 2
Way of the Passive Fist,3/7/2018,Household Games Inc.,Household Games Inc.,2D Beat-'Em-Up,Teen,PlayStation 4
Rhapsody: A Musical Adventure,9/23/2008,Nippon Ichi Software,NIS America,RPG,Everyone,DS
Fobia - St. Dinfna Hotel,6/28/2022,Pulsatrix Studios,Maximum Games,Survival,Mature,PC
SimCity: Cities of Tomorrow Expansion Pack,11/12/2013,Maxis,Electronic Arts,Management,Everyone +10,PC
Fall Guys,8/4/2020,Mediatonic,Devolver Digital,Party,Everyone,PlayStation 4
Activision Hits Remixed,11/8/2006,Digital Eclipse,Activision,Compilation,Everyone,PSP
Dark Souls,10/4/2011,From Software,Namco Bandai Games,Action RPG,Mature,PlayStation 3
Ultra Age,9/9/2021,Visual Dart,DANGEN Entertainment,Action Adventure,Teen,PlayStation 4
Dragon Quest,9/27/2019,Square Enix,Square Enix,JRPG,Teen,Nintendo Switch
Vampyr,6/5/2018,DONTNOD Entertainment,Focus Home Interactive,Action RPG,Mature,PlayStation 4
Arctic Thunder,9/17/2001,Inland Productions,Midway,Future Racing,Teen,Xbox
Angry Birds Trilogy,9/25/2012,Rovio Entertainment,Activision,Compilation,Everyone,PlayStation 3
Pokemon Ranger: Shadows of Almia,11/10/2008,Creatures Inc.,Nintendo,RPG,Everyone,DS
Arkanoid DS,6/17/2008,Taito Corporation,Square Enix,Arcade,Everyone,DS
Battlefield 1942: Secret Weapons of WWII,9/4/2003,Digital Illusions,EA Games,FPS,Teen,PC
Gotcha Force,12/3/2003,Capcom,Capcom,Third Person Shooter,Everyone,GameCube
Silent Hill: Book of Memories,10/16/2012,WayForward,Konami,Survival,Mature,PlayStation Vita
Atelier Iris: Eternal Mana,6/28/2005,Gust,NIS America,JRPG,Teen,PlayStation 2
Heavy Rain & Beyond: Two Souls Collection,3/1/2016,Quantic Dream,SCEA,Compilation,Mature,PlayStation 4
FIFA Manager 10,10/30/2009,Bright Future GmbH,Electronic Arts,Soccer Management,Everyone,PC
Rayman Legends: Definitive Edition,9/12/2017,Ubisoft Montpellier,Ubisoft,2D Platformer,Everyone +10,Nintendo Switch
God of War,4/20/2018,SCE Santa Monica,Sony Interactive Entertainment,Linear Action Adventure,Mature,PlayStation 4
NHL Slapshot,9/7/2010,EA Sports,EA Sports,Hockey Sim,Everyone,Wii
Surviving Mars: Green Planet,5/16/2019,Haemimont Games,Paradox Interactive,Management,Everyone +10,PC
Labyrinth of Refrain: Coven of Dusk,9/18/2018,Nippon Ichi Software,NIS America,JRPG,Mature,PlayStation 4
Wallachia: Reign of Dracula,10/29/2020,Migami Games,Pixelheart,2D Platformer,Teen,PC
Kya: Dark Lineage,11/18/2003,Eden Studios,Atari SA,Action Adventure,Teen,PlayStation 2
WWE '13,10/30/2012,Yuke's,THQ,Wrestling,Teen,Xbox 360
Yoshi's Crafted World,3/28/2019,Good-Feel,Nintendo,3D Platformer,Everyone,Nintendo Switch
MechAssault,11/11/2002,Day 1 Studios,Microsoft Game Studios,Vehicle Combat Sim,Teen,Xbox
Animal Force,7/10/2018,ISVR,Oasis Games,Defense,Everyone,PlayStation 4
Creature in the Well,9/6/2019,Flight School Studio,Flight School Studio,Action Adventure,Everyone,Nintendo Switch
Battle Fantasia,9/16/2008,Arc System Works,Aksys Games,2D Fighting,Teen,PlayStation 3
Mortal Kombat Advance,12/12/2001,Virtucraft,Midway,2D Fighting,Mature,Game Boy Advance
Resident Evil: Operation Raccoon City,3/20/2012,Slant Six,Capcom,Third Person Shooter,Mature,Xbox 360
Disney Bolt,11/18/2008,Avalanche Software,Disney Interactive Studios,Adventure,Everyone +10,DS
Frogger,7/12/2006,Digital Eclipse,Konami,Arcade,Everyone,Xbox 360
Halo: Reach Remastered,12/3/2019,343 Industries,Xbox Game Studios,FPS,Mature,PC
Global Operations,3/25/2002,Barking Dog,Crave,Tactical FPS,Mature,PC
Pokemon Mystery Dungeon: Rescue Team DX,3/6/2020,Spike Chunsoft,Nintendo,Roguelike,Everyone,Nintendo Switch
Mortal Kombat: Deadly Alliance,11/16/2002,Midway,Midway,3D Fighting,Mature,Xbox
Pac-Man 256,6/21/2016,HIPSTER WHALE,Bandai Namco Games,Arcade,Everyone,Xbox One
Age of Wonders 4,5/2/2023,Triumph Studios,Paradox Interactive,4X Strategy,Teen,PlayStation 5
Virtua Fighter 4,3/17/2002,Sega AM2,Sega,3D Fighting,Teen,PlayStation 2
Family Party: 30 Great Games,12/2/2008,Tamsoft,D3Publisher,Party,Everyone +10,Wii
Halo 2,11/9/2004,Bungie,Microsoft Game Studios,FPS,Mature,PC
Pillars of Eternity: Complete Edition,8/29/2017,Paradox Arctic,Paradox Interactive,Western RPG,Mature,PlayStation 4
DeadCore,8/13/2013,5-Bits Games,5-Bits Games,FPS,Teen,PC
Battle Chef Brigade,11/20/2017,Trinket Studios,Adult Swim,2D Beat-'Em-Up,Everyone +10,PC
NHL 19,9/14/2018,EA Sports,Electronic Arts,Hockey Sim,Everyone +10,PlayStation 4
Shox,11/19/2002,Electronic Arts,EA Sports Big,Auto Racing Sim,Everyone,PlayStation 2
Law & Order: Justice Is Served,10/5/2004,Legacy Interactive,Legacy Interactive,First-Person Adventure,Teen,PC
City of Heroes,4/27/2004,Cryptic Studios,NCSOFT,MMORPG,Teen,PC
The TakeOver,6/4/2020,Pelikan13,DANGEN Entertainment,2D Beat-'Em-Up,Teen,PlayStation 4
inbento,3/12/2020,Afterburn,7Levels,Stacking Puzzle,Everyone,Nintendo Switch
The Station,2/20/2018,The Station,The Station,First-Person Adventure,Teen,PC
Monster Sanctuary,12/8/2020,Moi Rai Games,Team17,Action Adventure,Everyone +10,PC
Fallout 3: Broken Steel,5/5/2009,Bethesda Game Studios,Bethesda Softworks,Western RPG,Mature,PlayStation 3
Girl Fight,9/24/2013,Kung Fu Factory,Majesco,3D Fighting,Mature,Xbox 360
Demonworld: Dark Armies,1/13/2002,Ikarion,Xicat Interactive,Real-Time Strategy,Teen,PC
BioShock: The Collection,9/13/2016,2K Games,2K Games,Compilation,Mature,PlayStation 4
Trinity Trigger,4/25/2023,Three Rings,XSEED Games,Action RPG,Everyone +10,Nintendo Switch
Delta Force: Xtreme 2,5/27/2009,NovaLogic,NovaLogic,Tactical FPS,Teen,PC
The Elder Scrolls Online: Greymoor,5/26/2020,ZeniMax Media,Bethesda Softworks,MMORPG,Mature,PC
Doki Doki Literature Club Plus!,6/30/2021,Team Salvato,Serenity Forge,Visual Novel,Mature,PC
Astria Ascending,9/30/2021,Artisan Studios,Dear Villagers,JRPG,Teen,Xbox Series X
Disciples II: Dark Prophecy,1/22/2002,Strategy First,Strategy First,Turn-Based Strategy,Teen,PC
Mickey's Speedway USA,11/13/2000,Rare Ltd.,Nintendo,Auto Racing,Everyone,Nintendo 64
Foreclosed,8/12/2021,Antab,Merge Games,Action Adventure,Mature,Nintendo Switch
Blood Drive,11/2/2010,Sidhe Interactive,Activision,Vehicle Combat Sim,Mature,PlayStation 3
Dragon Ball Z: Sagas,3/22/2005,Avalanche Software,Atari SA,3D Beat-'Em-Up,Teen,Xbox
Double Dragon Advance,11/12/2003,Million,Atlus,2D Beat-'Em-Up,Teen,Game Boy Advance
.hack//G.U. vol. 2//Reminisce,5/8/2007,CyberConnect2,Namco Bandai Games,Action RPG,Teen,PlayStation 2
Sensible World of Soccer,12/19/2007,Codemasters,Codemasters,Soccer Sim,Everyone,Xbox 360
Lil Gator Game,12/14/2022,Scott Slucher,Playtonic Friends,Open-World Action,Everyone,PC
Destiny: Rise of Iron,9/20/2016,Bungie,Activision,FPS,Teen,Xbox One
Every Extend Extra Extreme,10/17/2007,Cyclone Zero,Q Entertainment,Top-Down Shoot-'Em-Up,Everyone,Xbox 360
Etrian Odyssey V: Beyond the Myth,10/17/2017,Atlus,Atlus,Western RPG,Teen,3DS
Farming Simulator 19,11/19/2018,Giants Software,Focus Home Interactive,Virtual Career,Everyone,PC
TimeSplitters,10/23/2000,Free Radical Design,Eidos Interactive,FPS,Teen,PlayStation 2
Scrapland,11/4/2004,Mercury Steam,Enlight Software,Action Adventure,Teen,PC
Magic: Duels of the Planeswalkers 2015,7/16/2014,Wizards of the Coast,Wizards of the Coast,Card Battle,Teen,iOS (iPhone/iPad)
Marsupilami: Hoobadventure,11/16/2021,Ocellus Studio,Microids,2D Platformer,Everyone,Xbox One
Tropico: Paradise Island,2/3/2002,BreakAway Games,Take-Two Interactive,Management,Teen,PC
Spin the Bottle: Bumpie's Party,8/8/2013,Redgrim AB,KnapNok Games,Party,Everyone,Wii U
Toy Stunt Bike,6/26/2014,Wobbly Tooth Ltd,Wobbly Tooth Ltd,Auto Racing,Everyone,3DS
Call of Juarez: Gunslinger,5/22/2013,Techland,Ubisoft,FPS,Mature,PlayStation 3
Overcooked! 2: Surf 'n' Turf,10/3/2018,Ghost Town Games Ltd.,Team17,Arcade,Everyone,Xbox One
Eternights,9/12/2023,Studio Sai,Studio Sai,Action Adventure,Mature,PlayStation 5
Picross e,6/13/2013,Jupiter Corporation,Jupiter Corporation,Logic Puzzle,Everyone,3DS
RACE 07: Official WTCC Game,10/9/2007,SimBin,Viva Media,Auto Racing Sim,Everyone,PC
SpellForce 2: Shadow Wars,5/5/2006,EA Phenomic,Aspyr,Western RPG,Mature,PC
Dead or Alive 5 Last Round,2/17/2015,Team Ninja,Koei Tecmo Games,3D Fighting,Mature,PlayStation 4
Sinking Island,8/21/2008,White Birds Productions,Encore Software,Third-Person Adventure,Teen,PC
Close Combat: Invasion: Normandy,10/10/2000,Atomic Games,SSI,Real-Time Tactics,Everyone,PC
Mundaun,3/16/2021,Hidden Fields,MWM Interactive,First-Person Adventure,Mature,PC
Jak and Daxter: The Lost Frontier,11/3/2009,High Impact Games,SCEA,3D Platformer,Everyone +10,PSP
Hard Corps: Uprising,2/16/2011,Arc System Works,Konami,2D Platformer,Teen,Xbox 360
SOCOM 4: U.S. Navy SEALs,4/19/2011,Zipper Interactive,SCEA,Third Person Shooter,Mature,PlayStation 3
Closure,3/27/2012,Eyebrow Interactive,Eyebrow Interactive,2D Platformer,Everyone,PC
Diablo II: Resurrected,9/23/2021,Blizzard Entertainment,Activision,Action RPG,Mature,Nintendo Switch
Mario Kart Tour,9/25/2019,Nintendo,Nintendo,Auto Racing,Everyone,iOS (iPhone/iPad)
Just Dance 2021,11/12/2020,Ubisoft,Ubisoft,Dancing,Everyone,Nintendo Switch
Lost in Blue,9/27/2005,Konami Computer Entertainment Hawaii,Konami,Survival,Everyone +10,DS
Yesterday Origins,11/17/2016,Pendulo Studios,Microids,Point-and-Click,Mature,Xbox One
Ibb & Obb,8/6/2013,Sparpweed,Sparpweed,Action Puzzle,Everyone,PlayStation 3
Infinite Minigolf,7/25/2017,Zen Studios,Zen Studios,Golf,Everyone,PC
Wildlife Park,11/14/2003,B-Alive,Encore Software,Tycoon,Everyone,PC
Blueberry Garden,6/10/2009,Erik Svedang,Erik Svedang,Miscellaneous,Everyone,PC
Here They Lie,10/13/2016,The Tangentlemen,Sony Interactive Entertainment,First-Person Adventure,Mature,PlayStation 4
NHL 2001,9/28/2000,EA Sports,EA Sports,Hockey Sim,Everyone,PlayStation
Assassin's Creed Odyssey: Story Arc 1 - Legacy of the First Blade: Episode 2,1/15/2019,Ubisoft,Ubisoft,Open-World Action,Mature,PC
Elven Legacy,4/7/2009,1C:Ino-Co,Paradox Interactive,Turn-Based Strategy,Teen,PC
Super Meat Boy Forever,12/23/2020,Team Meat,Team Meat,2D Platformer,Teen,iOS (iPhone/iPad)
ATV Offroad Fury 3,11/2/2004,Climax Studios,SCEA,Auto Racing Sim,Everyone,PlayStation 2
MX 2002 featuring Ricky Carmichael,7/3/2001,Pacific Coast Power & Light,THQ,Arcade Racing,Everyone,PlayStation 2
Madden NFL 09,8/12/2008,EA Tiburon,Electronic Arts,Football Sim,Everyone,Xbox 360
Homeworld,8/31/1999,Relic Entertainment,Sierra Entertainment,Command RTS,Everyone,PC
Super Bomberman R 2,9/13/2023,Konami,Konami,Action Puzzle,Everyone +10,Nintendo Switch
Paperbound,3/31/2015,Dissident Logic,Dissident Logic,2D Fighting,Everyone +10,PC
Combat Flight Simulator 2: WWII Pacific Theater,10/13/2000,Microsoft Game Studios,Microsoft Game Studios,Aircraft Combat Sim,Everyone,PC
Harvest Moon: Magical Melody,3/28/2006,Marvelous Entertainment,Natsume,Tycoon,Everyone,GameCube
eFootball PES 2021,9/15/2020,Konami,Konami,Soccer Sim,Everyone,Xbox One
The Sims 3: Showtime,3/6/2012,The Sims Studio,Electronic Arts,Virtual Life,Teen,PC
Sports Story,12/23/2022,SideBar Games,SideBar Games,RPG,Everyone +10,Nintendo Switch
The Great Ace Attorney Chronicles,7/27/2021,Capcom,Capcom,Compilation,Teen,Nintendo Switch
Fire Pro Wrestling Returns,11/13/2007,S-Neo,Agetec,Wrestling,Teen,PlayStation 2
Frantics,3/6/2018,NapNok Games,Sony Interactive Entertainment,Party,Everyone,PlayStation 4
Slime-san: Superslime Edition,6/26/2018,Fabraz,Headup Games,Linear Action Adventure,Everyone +10,PlayStation 4
Destroy All Humans! (2005),6/21/2005,Pandemic Studios,THQ,Action Adventure,Teen,PlayStation 2
JETT: The Far Shore,10/5/2021,Superbrothers,Superbrothers,Open-World Action,Everyone,PlayStation 5
Dungeon Siege II: Broken World,8/4/2006,Gas Powered Games,2K Games,Action RPG,Mature,PC
Sengoku Basara: Samurai Heroes,10/12/2010,Capcom,Capcom,3D Beat-'Em-Up,Teen,PlayStation 3
Final Fantasy XIV Online,9/22/2010,Square Enix,Square Enix,MMORPG,Teen,PC
Killer Queen Black,10/11/2019,Liquid Bit,Liquid Bit,Arcade,Everyone +10,Nintendo Switch
Shin Megami Tensei IV: Apocalypse,9/20/2016,Atlus,Atlus,JRPG,Mature,3DS
Lock's Quest,9/8/2008,5TH Cell,THQ,Defense,Everyone,DS
Carmageddon 3: TDR 2000,12/14/2000,Torus Games,Xicat Interactive,Vehicle Combat Sim,Mature,PC
Nioh 2: The Complete Edition,2/5/2021,Team Ninja,Koei Tecmo Games,Action RPG,Mature,PC
NHL 18,9/15/2017,EA Sports,Electronic Arts,Hockey Sim,Everyone +10,PlayStation 4
Lost Empire: Immortals,3/11/2008,Pollux Gamelabs,Paradox Interactive,4X Strategy,Everyone,PC
Puzzle Agent 2,6/30/2011,Telltale Games,Telltale Games,Puzzle,Everyone,PC
The Legend of Zelda: The Wind Waker HD,9/20/2013,HexaDrive,Nintendo,Open-World Action,Everyone +10,Wii U
Command & Conquer 3: Tiberium Wars,3/26/2007,EA LA,EA Games,Real-Time Strategy,Teen,Xbox 360
Etrian Odyssey Origins Collection,6/1/2023,Atlus,Sega,Compilation,Teen,Nintendo Switch
AC/DC Live: Rock Band Track Pack,11/2/2008,Harmonix Music Systems,MTV Games,Rhythm,Teen,PlayStation 3
Mortal Kombat (2011),4/19/2011,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Mature,PlayStation 3
Family Guy,10/2/2006,High Voltage Software,2K Games,Third-Person Adventure,Mature,PSP
Ninja Five-0,4/22/2003,Hudson,Konami,2D Platformer,Everyone,Game Boy Advance
Super Mario Bros. 35,10/1/2020,Nintendo,Nintendo,2D Platformer,Everyone,Nintendo Switch
Madden NFL 07,8/22/2006,EA Tiburon,EA Sports,Football Sim,Everyone,PlayStation 3
Fortune Street,12/5/2011,Marvelous AQL,Nintendo,Board,Everyone,Wii
FlatOut 4: Total Insanity,5/5/2017,Kylotonn,Strategy First,Auto Racing,Teen,PC
Rhythm Heaven,4/5/2009,Nintendo,Nintendo,Rhythm,Everyone,DS
NASCAR Racing 2003 Season,2/14/2003,Papyrus,Sierra Entertainment,Auto Racing Sim,Everyone,PC
Shredders,3/17/2022,Foam Punch,Foam Punch,Skiing,Everyone +10,Xbox Series X
Star Wars Galactic Battlegrounds: Clone Campaigns,5/14/2002,LucasArts,LucasArts,Real-Time Strategy,Teen,PC
Final Fantasy Origins,4/8/2003,TOSE,Square Enix,Compilation,Teen,PlayStation
Game of Thrones: A Telltale Games Series,11/17/2015,Telltale Games,Telltale Games,Point-and-Click,Mature,PC
Tokyo Xanadu,6/30/2017,Falcom,Aksys Games,Action RPG,Teen,PlayStation Vita
Pokemon Dream Radar,10/7/2012,Creatures Inc.,Nintendo,Miscellaneous,Everyone,3DS
Red Dead Redemption 2,10/26/2018,Rockstar Games,Rockstar Games,Open-World Action,Mature,Xbox One
Pacer,10/22/2020,R8 Games,R8 Games,Future Racing,Everyone,PlayStation 4
Raw Danger!,6/19/2007,Irem,Agetec,Action Adventure,Teen,PlayStation 2
Pocket Card Jockey,5/5/2016,Game Freak,Nintendo,Board,Everyone +10,3DS
Battlefield 2: Euro Force,3/15/2006,Digital Illusions,EA Games,Tactical FPS,Teen,PC
Seven Games of the Soul,11/30/2000,Arxel Tribe,Cryo Interactive,Adventure,Mature,PC
Prince of Persia: The Lost Crown,1/18/2024,Ubisoft Montpellier,Ubisoft,Metroidvania,Teen,Xbox Series X
Final Fantasy XV - Multiplayer Expansion: Comrades,11/15/2017,Square Enix,Square Enix,Action RPG,Teen,Xbox One
Serious Sam Advance,4/12/2004,Climax Studios,Global Star Software,FPS,Mature,Game Boy Advance
BlazeRush,10/28/2014,Targem Games,Targem Games,Auto Racing,Everyone +10,PC
BeatMania (1998),3/28/2006,Konami,Konami,Rhythm,Everyone +10,PlayStation 2
White Night,3/3/2015,OSome Studio,Activision,Survival,Mature,Xbox One
Test Drive Unlimited 2,2/8/2011,Eden Studios,Atari SA,Auto Racing Sim,Teen,PC
Mugen Souls,10/16/2012,Compile Heart,NIS America,JRPG,Teen,PlayStation 3
The Witcher 3: Wild Hunt,5/19/2015,CD Projekt Red Studio,Warner Bros. Interactive Entertainment,Action RPG,Mature,PC
Midnight Club II,4/9/2003,Rockstar San Diego,Rockstar Games,Auto Racing Sim,Teen,PlayStation 2
Lunar Legend,12/10/2002,Game Arts,Ubisoft,JRPG,Everyone,Game Boy Advance
DOLMEN,5/20/2022,Massive Work Studio,Prime Matter,Action RPG,Teen,PlayStation 4
Dragon Ball Z: The Legacy of Goku II,6/17/2003,Webfoot Technologies,Atari SA,Action RPG,Everyone,Game Boy Advance
Spectrobes: Origins,8/18/2009,Genki,Disney Interactive Studios,Action RPG,Everyone +10,Wii
Just Dance 4,10/9/2012,Ubisoft,Ubisoft,Dancing,Everyone +10,Xbox 360
Tales of Xillia 2,8/19/2014,Bandai Namco Games,Bandai Namco Games,Action RPG,Teen,PlayStation 3
Anno 1800 Console Edition,3/16/2023,Ubisoft Blue Byte,Ubisoft,Management,Teen,PlayStation 5
Defend Your Castle,5/12/2008,XGenStudios,XGenStudios,Defense,Everyone,Wii
Henry Hatsworth in the Puzzling Adventure,3/17/2009,EA Tiburon,Electronic Arts,2D Platformer,Everyone,DS
Need for Speed: Hot Pursuit,11/16/2010,Criterion Games,Electronic Arts,Auto Racing,Everyone +10,Xbox 360
Bit.Trip Core,7/6/2009,Gaijin Games,Aksys Games,Rhythm,Everyone,Wii
Ravenlok,5/4/2023,Cococucumber,Cococucumber,Action Adventure,Everyone +10,PC
Aces of the Luftwaffe: Squadron,11/17/2017,HandyGames,HandyGames,Vertical Shoot-'Em-Up,Everyone +10,Nintendo Switch
Sleeping Dogs: Definitive Edition,10/14/2014,United Front Games,Square Enix,Open-World Action,Mature,Xbox One
Destiny: The Dark Below,12/9/2014,Bungie,Activision,FPS,Teen,PlayStation 4
NCAA Football 06,7/11/2005,EA Sports,EA Sports,Football Sim,Everyone,Xbox
Darwinia+,7/14/2005,Introversion,Introversion,Real-Time Strategy,Everyone,PC
Deus Ex: Human Revolution - Director's Cut,10/22/2013,Straight Right,Square Enix,Action Adventure,Mature,Wii U
Black,2/28/2006,Criterion Games,EA Games,FPS,Mature,PlayStation 2
Sega Genesis Classics,5/29/2018,D3T,Sega,Compilation,Teen,PC
Heroes of Might and Magic V,5/23/2006,Nival Interactive,Ubisoft,Turn-Based Strategy,Teen,PC
Company of Heroes 2,6/25/2013,Relic Entertainment,Sega,Real-Time Strategy,Mature,PC
Mushihimesama,6/15/2021,Cave,Live Wire,Vertical Shoot-'Em-Up,Everyone +10,iOS (iPhone/iPad)
Medal of Honor: Frontline,5/29/2002,EA LA,EA Games,FPS,Teen,PlayStation 2
Overwatch 2,8/10/2023,Blizzard Entertainment,Blizzard Entertainment,Tactical FPS,Teen,PC
Mortal Kombat: Special Forces,6/30/2000,Midway,Midway,3D Beat-'Em-Up,Mature,PlayStation
Weapon Shop de Omasse,2/20/2014,Nex Entertainment,Level 5,RPG,Teen,3DS
Roving Rogue,7/2/2015,Padaone Games,Padaone Games,2D Platformer,Everyone,Wii U
"Monsters, Inc. Scream Team",10/30/2001,Artificial Mind and Movement,SCEA,3D Platformer,Everyone,PlayStation
Lumines Live!,10/18/2006,Q Entertainment,Q Entertainment,Matching Puzzle,Everyone,Xbox 360
Fantasy Life,10/24/2014,Brownie Brown,Nintendo,RPG,Everyone +10,3DS
Magic: Duels of the Planeswalkers 2014,6/26/2013,Stainless Games,Microsoft Game Studios,Card Battle,Teen,Xbox 360
Odin Sphere Leifthrasir,6/7/2016,Vanillaware,Atlus,Action RPG,Teen,PlayStation 4
DeathSpank,7/14/2010,Hothead Games,Electronic Arts,Action RPG,Teen,PC
Digimon World 4,6/2/2005,Bec,Bandai,Action RPG,Everyone,GameCube
WWF SmackDown! Just Bring It,11/18/2001,Yuke's,THQ,Wrestling,Teen,PlayStation 2
Conception II: Children of the Seven Stars,4/15/2014,Spike Chunsoft,Atlus,JRPG,Mature,PlayStation Vita
Donkey Kong Country: Tropical Freeze,2/21/2014,Retro Studios,Nintendo,2D Platformer,Everyone,Wii U
Azurik: Rise of Perathia,11/25/2001,Adrenium,Microsoft Game Studios,Action Adventure,Teen,Xbox
FIFA 16,9/22/2015,EA Sports,EA Sports,Soccer Sim,Everyone,PlayStation 4
Dragon Ball Z: The Legacy of Goku,5/14/2002,Webfoot Technologies,Infogrames,Action RPG,Everyone,Game Boy Advance
Battleship (2016),8/2/2016,Frima Studio,Ubisoft,Board,Everyone +10,Xbox One
Dawnspire: Prelude,4/3/2007,Silent Grove Studios,DreamCatcher Interactive,Action RPG,Teen,PC
The Game of Life 2,3/29/2021,Marmalade Game Studio,Marmalade Game Studio,Board,Everyone,iOS (iPhone/iPad)
Gang Beasts,12/12/2017,Boneloaf,Double Fine Productions,Party,Everyone +10,PC
Sherlock Holmes: The Awakened (2007),3/1/2007,Frogwares,Focus Home Interactive,Adventure,Mature,PC
Age of Wonders III,3/31/2014,Triumph Studios,Triumph Studios,Turn-Based Strategy,Teen,PC
Style Savvy: Fashion Forward,8/19/2016,syn Sophia,Nintendo,Virtual Career,Everyone,3DS
