Title,Release Date,Developer,Publisher,Genre,Age Rating,Platform
The Typing of The Dead: Overkill,10/29/2013,Modern Dream,Sega,Arcade,Mature,PC
Command & Conquer: Generals,2/10/2003,EA Pacific,EA Games,Real-Time Strategy,Teen,PC
Bit.Trip Flux,2/28/2011,Gaijin Games,Aksys Games,Rhythm,Everyone,Wii
The Last Worker,3/30/2023,Wolf & Wood Interactive,Wired Productions,First-Person Adventure,Mature,PC
Tiny Troopers: Joint Ops,2/26/2016,Epiphany Games,Wired Productions,Top-Down Shoot-'Em-Up,Teen,PlayStation 4
Warcraft III: Reforged,1/28/2020,Blizzard Entertainment,Blizzard Entertainment,Real-Time Strategy,Teen,PC
Wario Land 4,11/18/2001,Nintendo,Nintendo,2D Platformer,Everyone,Game Boy Advance
The Egyptian Prophecy,3/30/2004,DreamCatcher Interactive,The Adventure Company,Adventure,Everyone,PC
Rockstar Games presents Table Tennis,5/22/2006,Rockstar San Diego,Rockstar Games,Individual Sports,Everyone,Xbox 360
Amnesia: Rebirth,9/15/2020,Frictional Games,Frictional Games,Survival,Mature,PC
Far Cry Instincts Evolution,3/28/2006,Ubisoft Montreal,Ubisoft,FPS,Mature,Xbox
"What Did I Do to Deserve This, My Lord!?",7/16/2009,Acquire,NIS America,Strategy,Teen,PSP
Armored Core 4,3/20/2007,From Software,Sega,Vehicle Combat Sim,Teen,Xbox 360
Captain America: Super Soldier,7/19/2011,Next Level Games,Sega,Action Adventure,Teen,Xbox 360
Shadow of the Tomb Raider,9/12/2018,Eidos Montreal,Square Enix,Action Adventure,Mature,PC
